timestamp,user,action,description,protocol,url,method,source_ip,dest_ip,dest_domain,client_ip,source_port,dest_port,severity,host,rule_name,app,category,bytes_sent,bytes_received,threat_id,user_agent,eventid,workstation,privilege,object,accessmask,target,status,reason,process,parentprocess,fileaccessed,alert,machine,os,details,resource,location,facility,code,message,event,file,verdict,log_type,domain,context,llm_output,threat_level,explanation
2025-05-26T09:00:54,hafsa.mansur,,Remote logon - File server,,,,,,,172.25.26.27,,,,,,,,,,,,4725.0,UM6P-DEV02,SeChangeNotifyPrivilege,"CN=Finance_Reports,DC=um6p,DC=local",0xdb,,,,,,,,,,,,,,,,,,,ad,,2025-05-26T09:00:54 | hafsa.mansur | nan | Remote logon - File server,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T12:15:58,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,UM6P,LINK,UPDOWN,"Interface Vlan1, changed state to down",,,,router,,2025-05-26T12:15:58 | nan | nan | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T15:29:14,hassan.amir,,Firewall rule added,,,,,,,172.23.24.25,,,,,,,,,,,,4728.0,UM6P-MGMT05,,,,,,,,,,,,,,,,,,,,,,ad,,2025-05-26T15:29:14 | hassan.amir | nan | Firewall rule added,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T16:28:20,mona.abdul,,Navigation anormale détectée,,https://student.um6p.ma/submit,GET,,,,10.10.12.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy,student.um6p.ma,2025-05-26T16:28:20 | mona.abdul | nan | Navigation anormale détectée,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T14:57:58,rima.bashir,access_granted,Access granted to backup_bucket for user rima.bashir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backup_bucket,,,,,,,,iam,,2025-05-26T14:57:58 | rima.bashir | access_granted | Access granted to backup_bucket for user rima.bashir,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T09:31:00,ali.mostafa,ATTACHMENT_DOWNLOAD,Signalement d’un phishing à l’équipe sécurité: Fichier 'fichier_backup_db.sql',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mail,,2025-05-26T09:31:00 | ali.mostafa | ATTACHMENT_DOWNLOAD | Signalement d’un phishing à l’équipe sécurité: Fichier 'fichier_backup_db.sql',"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T12:48:13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,UM6P,LINEPROTO,UPDOWN,"Line protocol on Interface Vlan10, changed state to down",,,,router,,2025-05-26T12:48:13 | nan | nan | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T10:33:57,omar.fahad,,,FTP,,,,,,,,,Low,PC-Khaled,,,,,,,,,,,,,,Blocked,LoginFailure,cmd.exe,cmd.exe,C:\Users\omar\Desktop\payload.exe,Malware Detected,,,,,,,,,,,,edr,,2025-05-26T10:33:57 | omar.fahad | nan | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T10:45:44,hassan.amir,password_reset,Password reset initiated for user hassan.amir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iam,,2025-05-26T10:45:44 | hassan.amir | password_reset | Password reset initiated for user hassan.amir,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T17:50:28,khalifa.mahmoud,,,HTTP,,,,,,,,,High,PC-Thamer,,,,,,,,,,,,,,Blocked,Created,explorer.exe,cmd.exe,C:\Windows\System32\calc.exe,Malware Detected,,,,,,,,,,,,edr,,2025-05-26T17:50:28 | khalifa.mahmoud | nan | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
